	Count
Q0/S12;Q1/1;F0	34
A0/S8;Q0/3;F1	1
D0/S12;D1/1;F0	30
H0/S9;P0/3;F1	5
E0/S12;E1/1;F0	63
E0/S11;E1/2;F0	25
K0/S11;K1/2;F0	47
L0/S3;V0/8;F-1	3
G0/S8;H0/3;F-1	1
A0/S8;M0/3;F1	1
S0/S12;S1/1;F0	89
Q0/S3;W0/9;F1	1
A0/S3;I0/8;F-1	4
L0/S11;L1/2;F0	98
G0/S3;P0/8;F1	1
E0/S10;E1/3;F0	4
E0/S9;F0/3;F1	2
A0/S3;V0/8;F1	1
G0/S9;V0/3;F-1	2
H0/S3;K0/9;F1	1
K0/S9;T0/3;F-1	4
D0/S3;Q0/8;F1	1
M0/S9;N0/3;F1	1
I0/S9;K0/3;F1	1
H0/S3;K0/8;F-1	2
L0/S9;T0/3;F1	3
K0/S3;Y0/8;F-1	1
K0/S12;K1/1;F0	67
G0/S12;G1/1;F0	87
F0/S11;F1/2;F0	39
D0/S11;D1/2;F0	48
I0/S12;I1/1;F0	81
R0/S12;R1/1;F0	32
K0/S3;L0/9;F-1	4
F0/S12;F1/1;F0	2
P0/S7;P1/6;F0	24
D0/S3;K0/8;F-1	1
H0/S9;K0/3;F-1	2
A0/S12;A1/1;F0	124
K0/S3;K0/9;F1	6
E0/S3;G0/9;F1	5
F0/S9;K0/3;F-1	3
L0/S3;V0/8;F1	3
P0/S4;P1/9;F0	34
T0/S8;V0/3;F-1	2
A0/S8;I0/3;F1	2
H0/S12;H1/1;F0	9
K0/S8;S0/3;F-1	1
A0/S3;D0/8;F-1	1
E0/S9;W0/3;F1	1
A0/S9;D0/3;F1	4
G0/S8;Q0/3;F1	1
V0/S12;V1/1;F0	95
A0/S3;E0/9;F1	3
E0/S9;L0/3;F-1	6
K0/S3;M0/8;F1	1
A0/S8;L0/3;F-1	4
H0/S9;H0/3;F-1	2
D0/S8;I0/3;F-1	1
I0/S3;L0/9;F-1	2
K0/S3;K0/8;F1	1
A0/S3;I0/8;F1	4
Q0/S10;Q1/3;F0	3
K0/S3;L0/8;F-1	1
D0/S9;I0/3;F1	4
L0/S3;V0/9;F-1	3
A0/S9;K0/3;F-1	4
A0/S3;E0/8;F-1	4
G0/S3;Q0/8;F-1	1
E0/S8;M0/3;F1	2
M0/S9;N0/3;F-1	1
M0/S12;M1/1;F0	10
R0/S11;R1/2;F0	38
G0/S3;L0/9;F1	6
E0/S3;L0/8;F-1	2
A0/S9;E0/3;F1	3
K0/S9;V0/3;F-1	2
E0/S4;E1/9;F0	6
D0/S3;E0/9;F-1	2
D0/S8;I0/3;F1	1
L0/S3;Q0/8;F1	2
A0/S3;T0/8;F-1	3
W0/S11;W1/2;F0	6
A0/S8;L0/3;F1	4
D0/S8;R0/3;F-1	2
H0/S3;K0/9;F-1	2
T0/S3;V0/9;F-1	3
K0/S3;L0/9;F1	3
L0/S12;L1/1;F0	31
Y0/S11;Y1/2;F0	21
K0/S3;Y0/8;F1	1
H0/S9;V0/3;F1	1
T0/S12;T1/1;F0	94
G0/S9;N0/3;F1	4
G0/S3;Q0/8;F1	1
Q0/S3;W0/9;F-1	1
H0/S11;H1/2;F0	38
D0/S3;F0/9;F1	1
K0/S9;Y0/3;F1	2
A0/S3;L0/8;F-1	4
I0/S9;S0/3;F-1	2
I0/S9;R0/3;F-1	3
F0/S3;R0/9;F1	1
L0/S3;Q0/8;F-1	2
E0/S3;P0/9;F-1	1
H0/S3;L0/9;F-1	2
A0/S9;Q0/3;F-1	1
D0/S3;K0/8;F1	1
A0/S9;D0/3;F-1	4
R0/S3;S0/8;F-1	1
L0/S9;T0/3;F-1	3
A0/S9;K0/3;F1	3
A0/S3;D0/8;F1	1
N0/S11;N1/2;F0	46
E0/S9;K0/3;F-1	1
A0/S3;H0/9;F-1	2
Q0/S9;S0/3;F1	2
E0/S3;T0/9;F-1	2
A0/S3;V0/8;F-1	1
H0/S3;L0/9;F1	2
F0/S3;K0/9;F1	1
T0/S8;V0/3;F1	2
H0/S8;S0/3;F1	1
D0/S3;Q0/8;F-1	1
E0/S3;S0/9;F1	2
F0/S3;L0/8;F1	1
H0/S3;R0/9;F1	2
L0/S3;Y0/9;F-1	3
H0/S3;K0/8;F1	2
H0/S3;H0/9;F1	2
E0/S9;G0/3;F-1	2
A0/S9;Q0/3;F1	1
I0/S3;I0/8;F1	1
G0/S9;H0/3;F1	1
G0/S3;H0/9;F1	1
G0/S3;H0/8;F-1	1
L0/S3;R0/8;F1	3
A0/S8;Q0/3;F-1	1
A0/S9;I0/3;F-1	3
A0/S3;L0/8;F1	3
E0/S3;S0/8;F1	2
I0/S9;L0/3;F-1	3
F0/S3;N0/9;F1	2
D0/S9;V0/3;F-1	4
E0/S3;P0/9;F1	1
K0/S8;S0/3;F1	1
H0/S8;S0/3;F-1	1
K0/S9;K0/3;F-1	6
A0/S3;K0/9;F-1	5
H0/S3;I0/9;F-1	2
G0/S3;P0/8;F-1	1
K0/S8;P0/3;F-1	1
A0/S8;T0/3;F-1	2
A0/S3;A0/9;F1	1
H0/S4;H1/9;F0	17
E0/S3;T0/9;F1	2
H0/S3;S0/8;F-1	2
M0/S11;M1/2;F0	13
F0/S3;L0/8;F-1	2
F0/S8;R0/3;F1	1
A0/S9;E0/3;F-1	2
Q0/S9;S0/3;F-1	1
A0/S9;A0/3;F-1	2
K0/S8;P0/3;F1	1
A0/S9;S0/3;F1	3
A0/S3;K0/9;F1	4
A0/S3;E0/9;F-1	3
A0/S3;E0/8;F1	3
H0/S3;R0/9;F-1	2
I0/S11;I1/2;F0	16
F0/S9;G0/3;F-1	5
L0/S8;V0/3;F-1	1
E0/S9;T0/3;F-1	2
L0/S9;S0/3;F-1	6
G0/S8;Q0/3;F-1	1
H0/S9;L0/3;F1	4
L0/S3;T0/8;F-1	1
A0/S9;L0/3;F-1	4
E0/S9;W0/3;F-1	1
H0/S9;K0/3;F1	2
H0/S3;S0/8;F1	2
I0/S3;K0/9;F1	2
K0/S3;M0/8;F-1	1
D0/S9;I0/3;F-1	5
A0/S3;G0/9;F1	7
A0/S9;G0/3;F-1	5
G0/S3;L0/9;F-1	6
F0/S8;I0/3;F-1	3
F0/S8;K0/3;F1	2
L0/S3;R0/8;F-1	3
L0/S3;P0/8;F-1	2
I0/S9;R0/3;F1	3
I0/S3;P0/9;F-1	5
I0/S9;K0/3;F-1	1
H0/S9;P0/3;F-1	4
K0/S9;T0/3;F1	3
F0/S3;K0/9;F-1	1
H0/S8;V0/3;F-1	1
G0/S3;K0/9;F-1	5
G0/S3;H0/8;F1	1
D0/S3;F0/9;F-1	1
G0/S8;H0/3;F1	1
E0/S8;L0/3;F1	2
I0/S9;S0/3;F1	2
K0/S9;Y0/3;F-1	2
F0/S3;R0/9;F-1	2
E0/S9;T0/3;F1	2
A0/S3;T0/8;F1	3
H0/S8;V0/3;F1	1
K0/S3;R0/8;F1	1
F0/S9;K0/3;F1	3
I0/S9;L0/3;F1	2
E0/S3;S0/9;F-1	1
F0/S8;K0/3;F-1	2
E0/S7;E1/6;F0	2
G0/S9;H0/3;F-1	2
E0/S9;F0/3;F-1	3
H0/S9;V0/3;F-1	1
L0/S9;S0/3;F1	4
G0/S9;V0/3;F1	4
K0/S3;N0/8;F-1	1
E0/S3;L0/8;F1	4
I0/S3;K0/9;F-1	2
K0/S8;K0/3;F-1	2
H0/S9;L0/3;F-1	4
I0/S9;P0/3;F1	1
E0/S3;G0/9;F-1	5
I0/S8;I0/3;F-1	3
R0/S3;S0/8;F1	1
H0/S3;I0/9;F1	2
D0/S8;R0/3;F1	2
E0/S3;H0/9;F-1	2
E0/S3;L0/9;F-1	3
F0/S8;R0/3;F-1	1
E0/S3;S0/8;F-1	2
A0/S3;G0/9;F-1	7
G0/S9;Y0/3;F-1	6
A0/S9;S0/3;F-1	3
G0/S9;N0/3;F-1	5
K0/S3;N0/8;F1	1
K0/S3;T0/9;F-1	6
E0/S3;H0/9;F1	2
F0/S8;I0/3;F1	3
E0/S8;L0/3;F-1	3
G0/S3;H0/9;F-1	1
K0/S3;L0/8;F1	1
E0/S3;L0/9;F1	4
D0/S9;V0/3;F1	5
F0/S3;N0/9;F-1	2
F0/S9;G0/3;F1	3
A0/S9;L0/3;F1	4
I0/S8;L0/3;F1	1
V0/S9;W0/3;F-1	1
I0/S8;L0/3;F-1	1
E0/S3;V0/8;F1	2
E0/S3;K0/8;F-1	3
D0/S3;E0/9;F1	3
E0/S8;M0/3;F-1	2
K0/S3;R0/8;F-1	1
A0/S8;M0/3;F-1	1
E0/S9;K0/3;F1	1
F0/S4;F1/9;F0	11
L0/S3;V0/9;F1	2
I0/S3;L0/9;F1	2
I0/S3;R0/8;F-1	2
F0/S9;R0/3;F1	1
G0/S9;T0/3;F-1	5
W0/S10;W1/3;F0	4
A0/S3;F0/9;F-1	3
D0/S3;L0/9;F-1	3
E0/S9;H0/3;F-1	1
G0/S3;V0/9;F1	5
F0/S3;N0/8;F1	2
Y0/S4;Y1/9;F0	15
Y0/S10;Y1/3;F0	16
H0/S9;Y0/3;F1	2
S0/S9;V0/3;F-1	4
F0/S10;F1/3;F0	14
L0/S8;T0/3;F1	3
I0/S3;M0/9;F-1	2
L0/S8;N0/3;F-1	2
H0/S3;M0/9;F-1	2
Q0/S11;Q1/2;F0	17
E0/S9;P0/3;F1	1
L0/S9;N0/3;F1	2
E0/S9;I0/3;F1	2
K0/S9;S0/3;F-1	5
C0/S9;D0/3;F-1	1
D0/S8;H0/3;F1	1
Y0/S9;Y0/3;F-1	3
K0/S9;S0/3;F1	5
F0/S3;R0/8;F1	2
A0/S3;D0/9;F-1	3
C0/S3;Q0/8;F-1	1
A0/S8;F0/3;F1	1
I0/S3;T0/9;F-1	1
N0/S9;Q0/3;F-1	5
D0/S3;L0/9;F1	5
N0/S12;N1/1;F0	23
Y0/S8;Y1/5;F0	3
N0/S3;V0/8;F1	1
A0/S8;V0/3;F1	3
G0/S9;W0/3;F-1	1
I0/S3;Q0/9;F1	1
G0/S3;Y0/9;F1	2
R0/S9;S0/3;F-1	2
M0/S9;P0/3;F1	1
H0/S9;T0/3;F1	1
N0/S9;P0/3;F1	2
C0/S9;H0/3;F-1	3
G0/S9;K0/3;F1	3
D0/S9;R0/3;F-1	3
G0/S3;M0/9;F1	1
R0/S3;S0/9;F-1	2
D0/S3;T0/9;F-1	4
K0/S3;V0/9;F1	4
E0/S9;M0/3;F1	1
F0/S3;V0/8;F-1	1
I0/S8;K0/3;F-1	1
F0/S9;Y0/3;F-1	1
F0/S3;S0/9;F-1	2
G0/S3;G0/9;F1	4
A0/S3;K0/8;F-1	3
L0/S9;R0/3;F1	2
A0/S8;A0/3;F-1	2
G0/S3;Y0/9;F-1	3
E0/S3;F0/9;F-1	2
Q0/S3;V0/8;F1	2
P0/S9;S0/3;F-1	3
H0/S8;N0/3;F-1	2
Q0/S4;Q1/9;F0	2
A0/S8;W0/3;F-1	1
K0/S9;Q0/3;F1	2
Q0/S3;V0/9;F-1	3
H0/S3;M0/9;F1	2
I0/S3;N0/9;F1	1
G0/S9;S0/3;F-1	3
C0/S8;K0/3;F-1	1
I0/S9;V0/3;F-1	1
E0/S3;E0/9;F1	2
E0/S3;I0/9;F-1	4
Q0/S9;R0/3;F-1	1
V0/S9;Y0/3;F1	5
A0/S9;P0/3;F1	4
E0/S8;S0/3;F1	1
R0/S9;V0/3;F-1	4
G0/S9;L0/3;F1	5
G0/S9;Y0/3;F1	5
P0/S3;V0/9;F-1	1
V0/S3;Y0/9;F-1	2
V0/S9;V0/3;F-1	2
L0/S8;N0/3;F1	1
G0/S3;I0/9;F1	2
F0/S3;L0/9;F-1	3
I0/S3;V0/9;F1	1
A0/S9;T0/3;F-1	2
A0/S3;R0/9;F-1	3
G0/S3;T0/9;F-1	3
N0/S3;Y0/9;F-1	2
A0/S8;S0/3;F-1	1
R0/S8;S0/3;F-1	2
H0/S3;S0/9;F-1	1
R0/S3;T0/9;F1	1
K0/S3;T0/8;F-1	1
R0/S8;R1/5;F0	2
C0/S12;C1/1;F0	28
A0/S9;V0/3;F1	2
D0/S8;E0/3;F-1	1
R0/S10;R1/3;F0	1
D0/S2;S0/3;F-1	1
D0/S8;H0/3;F-1	1
N0/S3;P0/9;F-1	3
A0/S3;S0/9;F-1	4
L0/S8;T0/3;F-1	3
A0/S3;P0/9;F1	2
D0/S3;Y0/9;F-1	3
R0/S9;V0/3;F1	4
G0/S3;I0/9;F-1	2
K0/S3;T0/8;F1	1
S0/S3;Y0/8;F1	2
P0/S8;R0/3;F-1	1
N0/S9;R0/3;F-1	3
A0/S8;I0/3;F-1	3
F0/S8;L0/3;F-1	1
A0/S9;G0/3;F1	6
D0/S9;T0/3;F1	2
E0/S9;M0/3;F-1	1
R0/S3;V0/9;F-1	1
D0/S3;V0/9;F1	1
N0/S3;N0/8;F1	1
E0/S8;S0/3;F-1	1
F0/S9;N0/3;F1	2
A0/S3;R0/9;F1	2
E0/S3;N0/9;F-1	1
H0/S10;H1/3;F0	5
G0/S3;Q0/9;F1	2
L0/S9;P0/3;F1	4
G0/S3;K0/9;F1	3
F0/S3;S0/8;F-1	2
K0/S9;L0/3;F-1	3
L0/S9;V0/3;F-1	1
M0/S4;M1/9;F0	4
G0/S9;S0/3;F1	3
C0/S8;K0/3;F1	1
M0/S3;T0/9;F-1	1
A0/S3;A0/8;F1	1
P0/S3;V0/9;F1	1
A0/S3;Q0/8;F-1	1
I0/S3;V0/9;F-1	2
D0/S9;Y0/3;F1	2
H0/S8;L0/3;F-1	1
M0/S9;T0/3;F-1	1
H0/S3;Q0/9;F-1	1
E0/S9;P0/3;F-1	2
T0/S3;Y0/8;F-1	2
F0/S3;Q0/9;F-1	4
C0/S3;I0/9;F1	1
R0/S3;S0/9;F1	3
D0/S9;R0/3;F1	2
E0/S3;Y0/9;F1	1
H0/S3;V0/9;F1	1
A0/S8;E0/3;F-1	2
A0/S3;T0/9;F-1	2
G0/S3;R0/9;F-1	1
H0/S9;Y0/3;F-1	2
L0/S3;N0/9;F1	2
G0/S3;V0/9;F-1	5
I0/S3;S0/9;F1	2
L0/S3;R0/9;F1	3
D0/S3;P0/9;F1	1
D0/S3;H0/8;F1	1
M0/S9;V0/3;F-1	2
L0/S3;S0/9;F1	1
L0/S3;R0/9;F-1	3
I0/S3;N0/8;F-1	1
M0/S9;V0/3;F1	1
A0/S9;V0/3;F-1	1
Q0/S9;T0/3;F-1	1
